-1.0,3rk1nr/1p2ppbp/pN4p1/3pP3/3P4/1Q2Bq2/PP3P1P/R3K2R w KQk - 0 15
-1.0,7r/4kp1p/K4np1/3p4/PP2pb2/8/7P/R6R b - - 0 29
-1.0,r7/4kp1p/K4np1/3p4/PP2pb2/8/7P/R6R w - - 1 30
-1.0,r1bqkb1r/p1p2ppp/5n2/1p1Pp1N1/3n4/8/PPPP1PPP/RNBQKB1R w KQkq - 2 7
-1.0,r1bqkb1r/p1p2ppp/5n2/1p1Pp1N1/3n4/2P5/PP1P1PPP/RNBQKB1R b KQkq - 0 7
-1.0,r2k3r/p1p2ppp/3b4/1B6/1n1P2bq/1Q3pN1/PP1P2PP/RNB2RK1 w - - 2 15
-1.0,2rk1n2/2p3pp/P3rp2/1p6/3P3q/4BQN1/1P4PP/2R3K1 b - - 0 29
-1.0,2rk4/6pp/P1P2p2/1p6/3q4/6N1/1P4PP/2R1Q2K b - - 1 35
0.0,r2qkb1r/pp2pppp/2n1bn2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 5 7
0.0,r2qkb1r/pp2pppp/2n1bn2/2Pp4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 7
0.0,r2q1r2/p3ppkp/2p3p1/2Pp4/3Pn3/2NQ1b2/PP3PPP/R4RK1 w - - 0 15
0.0,r4r2/p4p1k/2p1pq2/2Pp3R/3P3P/4Q3/PP3PP1/6K1 b - - 4 29
0.0,6rr/p1Q2p2/2p1pk2/2Pp4/3P2PP/1P6/P4P2/6K1 w - - 1 44
0.0,1Q2k2r/p4p2/2p1p1r1/2Pp2P1/3P3P/1P6/P4P2/6K1 b - - 4 47
-1.0,r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7
-1.0,r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7
-1.0,r1b2rk1/2q1bppp/2np1n2/pp2p3/3PP3/1N3N1P/PPB2PP1/R1BQR1K1 w - - 0 15
-1.0,3rr1k1/1q1b1p1n/3p2p1/1p2n2p/3NP3/1P4NP/2R2PP1/1BRQ2K1 b - - 1 29
-1.0,1r4k1/5p2/4b1p1/1P1pP3/3Q3p/4N2P/5PP1/2q2B1K w - - 2 44
-1.0,2r5/5p2/3Nb3/kP2P3/3Q3p/3B3P/6PK/3q4 b - - 18 58
-1.0,8/3r1p2/1P1Nb3/k1Q1P3/7p/3B3P/6PK/3q4 b - - 2 60
-1.0,rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 2 7
-1.0,rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq - 0 7
-1.0,r2q1rk1/4ppbp/p2p1np1/3b3P/1p1BP3/5P2/PPPQ2P1/1K1R1B1R w - - 0 15
-1.0,8/4pk2/3p4/r2n4/ppB5/8/PPP3P1/1K1R4 b - - 1 29
-1.0,8/P7/3p4/8/6P1/2K1pk2/8/8 b - - 0 41
-1.0,rnbqkb1r/ppp2ppp/8/3p4/2N5/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 7
-1.0,rnbqkb1r/ppp2ppp/8/3p4/2N5/2N5/PPPPQPPP/R1B1K2R b KQkq - 1 7
-1.0,r1b2rk1/p1p2ppp/2pb4/3p4/8/2N1q1P1/PPP2P1P/R1B2RK1 w - - 0 15
-1.0,r2r1k2/p1p2ppp/8/2R5/P1pp4/6P1/P1P2P1P/2R3K1 b - - 1 29
-1.0,8/p1r2pp1/R6p/1P1k4/P1p5/2K3P1/5P1P/8 w - - 0 44
-1.0,8/r7/P5R1/5p2/2p2k1P/2K2P2/8/8 b - - 4 58
-1.0,7r/P7/8/8/8/6k1/5p2/R5K1 w - - 0 69
1.0,rnb1kb1r/1pq2ppp/p2p1n2/2p1p3/3PP3/2P1BN2/PP2BPPP/RN1QK2R w KQkq - 2 7
1.0,rnb1kb1r/1pq2ppp/p2p1n2/2p1p3/3PP3/2P1BN2/PP1NBPPP/R2QK2R b KQkq - 3 7
1.0,r3r1k1/1pq1bpp1/p1n1b2p/2p1p3/4P1nN/2P1B1N1/PPQ1BPPP/R2R2K1 w - - 6 15
1.0,1n1q1rkr/1p3p2/p2P2p1/2p5/2B1Q1Nb/2P5/PP3PP1/R2R2K1 b - - 6 29
1.0,5r2/1Q3Rk1/p2P2p1/1p5r/6qb/1BP5/PP3PP1/3R2K1 b - - 0 37
1.0,r1bqkb1r/pp3ppp/2nppn2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 7
1.0,r1bqkb1r/pp3ppp/2nppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R b KQkq - 1 7
1.0,r2qk2r/3b1ppp/p1nQp3/8/5p2/2N5/PPP3PP/2KR1B1R w kq - 0 15
1.0,3qk2r/n2b1ppp/4p3/8/3Q1p2/8/PPP3PP/2KR3R b k - 1 18
-1.0,r2qkb1r/pp1bpppp/2np1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 5 7
-1.0,r2qkb1r/pp1bpppp/2np1n2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R b KQkq - 6 7
-1.0,r3k2r/1pq1bpp1/p1bppn1p/8/3QP1P1/1BN2P2/PPPB3P/2KR3R w kq - 0 15
-1.0,2kr1b2/1p3R2/p1b2P2/1q2p1P1/N2p2Q1/1P6/1PPB4/1K6 b - - 0 29
-1.0,8/kp6/p2Qbq2/3Np3/8/1P6/KP6/2B5 b - - 3 41
0.0,r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2N1PN2/PPQ2PPP/R1B1KB1R w KQkq - 3 7
0.0,r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2NBPN2/PPQ2PPP/R1B1K2R b KQkq - 4 7
0.0,rbb1r1k1/pp1nqpp1/2p2n1p/8/P1BPp3/1P2PN1P/2Q1NPP1/R1BR2K1 w - - 0 15
0.0,4R1k1/pp1R2p1/4p1qp/8/P7/BP2P3/5PP1/6K1 b - - 0 29
0.0,1R6/5kp1/7p/3qp3/8/4B1P1/5PK1/8 w - - 2 44
0.0,5R2/8/6q1/4p1pp/4k3/4B1P1/5PK1/8 b - - 7 58
0.0,8/8/6q1/2B3R1/4p2K/5k2/5P2/8 b - - 6 70
-1.0,rnb1kb1r/1pq1pppp/p2p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 2 7
-1.0,rnb1kb1r/1pq1pppp/p2p1n2/8/3NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq - 0 7
-1.0,2r1kb1r/1bq2ppp/p2pp3/P1nP1N2/1p6/4BP2/1PP1B1PP/R2QK2R w KQk - 0 15
-1.0,2b2r1k/2q3pp/p6r/2p1p1b1/4B3/2P2P2/4QBPP/1R1R2K1 b - - 7 29
-1.0,1r5k/3r2pp/b7/4R3/2p1B3/2B2PP1/7P/6K1 w - - 5 44
-1.0,8/5k2/8/8/6B1/3b2P1/6KP/2Br4 b - - 0 58
-1.0,8/8/4B3/6P1/5k2/7K/2r4P/5b2 w - - 1 69
